Date : 2022-12-20 13:34:39
Directory : e:\Class\大四上\web\CareFreeJourney
Total : 171 files,  26869 codes, 503 comments, 3166 blanks, all 30538 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| YAML               |          2 |     10,610 |          0 |      1,279 |     11,889 |
| JavaScript         |        144 |     10,032 |        327 |        789 |     11,148 |
| CSS                |          3 |      5,304 |        163 |        993 |      6,460 |
| JavaScript React   |          3 |        375 |         10 |         17 |        402 |
| JSON               |          5 |        202 |          0 |          4 |        206 |
| HTML               |          6 |        131 |          0 |         13 |        144 |
| Markdown           |          4 |        108 |          0 |         25 |        133 |
| JSON with Comments |          3 |         68 |          0 |          1 |         69 |
| XML                |          1 |         39 |          3 |         45 |         87 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |        171 |     26,869 |        503 |      3,166 |     30,538 |
| packages                                                                                        |        167 |     16,240 |        503 |      1,883 |     18,626 |
| packages\CClient                                                                                |        108 |     10,799 |        373 |      1,448 |     12,620 |
| packages\CClient\build                                                                          |          4 |        187 |          3 |         16 |        206 |
| packages\CClient\config                                                                         |          1 |         27 |          0 |          2 |         29 |
| packages\CClient\dist                                                                           |          1 |         16 |          0 |          3 |         19 |
| packages\CClient\src                                                                            |         99 |     10,393 |        370 |      1,414 |     12,177 |
| packages\CClient\src\assets                                                                     |          2 |      2,506 |        133 |        565 |      3,204 |
| packages\CClient\src\assets\css                                                                 |          1 |      2,467 |        130 |        520 |      3,117 |
| packages\CClient\src\assets\font                                                                |          1 |         39 |          3 |         45 |         87 |
| packages\CClient\src\components                                                                 |         37 |      1,898 |         40 |        168 |      2,106 |
| packages\CClient\src\components\Author                                                          |          4 |        125 |         15 |         12 |        152 |
| packages\CClient\src\components\Collect                                                         |          5 |        317 |          1 |         28 |        346 |
| packages\CClient\src\components\Comment                                                         |          8 |        416 |          4 |         43 |        463 |
| packages\CClient\src\components\Events                                                          |          1 |        120 |          0 |         11 |        131 |
| packages\CClient\src\components\Forward                                                         |          1 |         54 |          1 |          3 |         58 |
| packages\CClient\src\components\Header                                                          |          9 |        340 |          4 |         23 |        367 |
| packages\CClient\src\components\Header\User                                                     |          6 |        248 |          4 |         17 |        269 |
| packages\CClient\src\components\Label                                                           |          1 |         68 |          0 |          2 |         70 |
| packages\CClient\src\components\Modal                                                           |          7 |        244 |          6 |         31 |        281 |
| packages\CClient\src\components\Modal\click                                                     |          2 |         43 |          0 |          6 |         49 |
| packages\CClient\src\components\Modal\mouseover                                                 |          2 |         64 |          0 |          7 |         71 |
| packages\CClient\src\components\Modal\remove                                                    |          2 |         82 |          6 |         12 |        100 |
| packages\CClient\src\components\Page                                                            |          1 |        214 |          9 |         15 |        238 |
