Date : 2022-12-20 13:35:50
Directory : e:\Class\大四上\web\CareFreeJourney\packages\Server
Total : 142 files,  -23795 codes, -429 comments, -2911 blanks, all -27135 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| XML                |          1 |        -39 |         -3 |        -45 |        -87 |
| JSON with Comments |          2 |        -50 |          0 |          0 |        -50 |
| Markdown           |          3 |        -99 |          0 |        -19 |       -118 |
| HTML               |          5 |       -120 |          0 |        -12 |       -132 |
| JSON               |          3 |       -149 |          0 |         -3 |       -152 |
| JavaScript React   |          3 |       -375 |        -10 |        -17 |       -402 |
| CSS                |          3 |     -5,304 |       -163 |       -993 |     -6,460 |
| JavaScript         |        120 |     -7,049 |       -253 |       -543 |     -7,845 |
| YAML               |          2 |    -10,610 |          0 |     -1,279 |    -11,889 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |        142 |    -23,795 |       -429 |     -2,911 |    -27,135 |
| ..                                                                                              |        142 |    -23,795 |       -429 |     -2,911 |    -27,135 |
| ..\..                                                                                           |          4 |    -10,629 |          0 |     -1,283 |    -11,912 |
| ..\CClient                                                                                      |        108 |    -10,799 |       -373 |     -1,448 |    -12,620 |
| ..\CClient\build                                                                                |          4 |       -187 |         -3 |        -16 |       -206 |
| ..\CClient\config                                                                               |          1 |        -27 |          0 |         -2 |        -29 |
| ..\CClient\dist                                                                                 |          1 |        -16 |          0 |         -3 |        -19 |
| ..\CClient\src                                                                                  |         99 |    -10,393 |       -370 |     -1,414 |    -12,177 |
| ..\CClient\src\assets                                                                           |          2 |     -2,506 |       -133 |       -565 |     -3,204 |
| ..\CClient\src\assets\css                                                                       |          1 |     -2,467 |       -130 |       -520 |     -3,117 |
| ..\CClient\src\assets\font                                                                      |          1 |        -39 |         -3 |        -45 |        -87 |
| ..\CClient\src\components                                                                       |         37 |     -1,898 |        -40 |       -168 |     -2,106 |
| ..\CClient\src\components\Author                                                                |          4 |       -125 |        -15 |        -12 |       -152 |
| ..\CClient\src\components\Collect                                                               |          5 |       -317 |         -1 |        -28 |       -346 |
| ..\CClient\src\components\Comment                                                               |          8 |       -416 |         -4 |        -43 |       -463 |
| ..\CClient\src\components\Events                                                                |          1 |       -120 |          0 |        -11 |       -131 |
| ..\CClient\src\components\Forward                                                               |          1 |        -54 |         -1 |         -3 |        -58 |
| ..\CClient\src\components\Header                                                                |          9 |       -340 |         -4 |        -23 |       -367 |
| ..\CClient\src\components\Header\User                                                           |          6 |       -248 |         -4 |        -17 |       -269 |
| ..\CClient\src\components\Label                                                                 |          1 |        -68 |          0 |         -2 |        -70 |
| ..\CClient\src\components\Modal                                                                 |          7 |       -244 |         -6 |        -31 |       -281 |
| ..\CClient\src\components\Modal\click                                                           |          2 |        -43 |          0 |         -6 |        -49 |
| ..\CClient\src\components\Modal\mouseover                                                       |          2 |        -64 |          0 |         -7 |        -71 |
| ..\CClient\src\components\Modal\remove                                                          |          2 |        -82 |         -6 |        -12 |       -100 |
| ..\CClient\src\components\Page                                                                  |          1 |       -214 |         -9 |        -15 |       -238 |
| ..\CClient\src\pages                                                                            |         51 |     -5,033 |       -176 |       -569 |     -5,778 |
| ..\CClient\src\pages\404                                                                        |          1 |        -16 |          0 |         -2 |        -18 |
| ..\CClient\src\pages\Article                                                                    |          4 |       -178 |          0 |        -11 |       -189 |
| ..\CClient\src\pages\Collect                                                                    |          2 |        -98 |          0 |         -8 |       -106 |
| ..\CClient\src\pages\Editor                                                                     |          6 |       -354 |         -9 |        -19 |       -382 |
| ..\CClient\src\pages\Login                                                                      |          5 |       -492 |         -5 |        -17 |       -514 |
| ..\CClient\src\pages\People                                                                     |         11 |       -543 |         -1 |        -38 |       -582 |
| ..\CClient\src\pages\People\Content                                                             |          4 |       -259 |         -1 |        -18 |       -278 |
| ..\CClient\src\pages\People\Sidebar                                                             |          3 |        -87 |          0 |         -7 |        -94 |
| ..\CClient\src\pages\Posts                                                                      |         10 |       -435 |        -73 |        -29 |       -537 |
| ..\CClient\src\pages\Posts\Sidebar                                                              |          3 |       -100 |         -1 |         -5 |       -106 |
| ..\CClient\src\pages\Setter                                                                     |          6 |       -240 |        -71 |        -23 |       -334 |
| ..\CClient\src\pages\Subscr                                                                     |          3 |       -202 |          0 |        -10 |       -212 |
